title,authors,categories,published_year
Gilead,Marilynne Robinson,Fiction,2004.0
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,2000.0
The One Tree,Stephen R. Donaldson,American fiction,1982.0
Rage of angels,Sidney Sheldon,Fiction,1993.0
The Four Loves,Clive Staples Lewis,Christian life,2002.0
The Problem of Pain,Clive Staples Lewis,Christian life,2002.0
An Autobiography,Agatha Christie,"Authors, English",1977.0
Empires of the Monsoon,Richard Hall,"Africa, East",1998.0
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994.0
Master of the Game,Sidney Sheldon,Adventure stories,1982.0
If Tomorrow Comes,Sidney Sheldon,Adventure stories,1994.0
Assassin's Apprentice,Robin Hobb,American fiction,1996.0
Warhost of Vastmark,Janny Wurts,Fiction,1995.0
The Once and Future King,Terence Hanbury White,Arthurian romances,1996.0
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003.0
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003.0
Well of Darkness,Margaret Weis;Tracy Hickman,,2001.0
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,1995.0
The Little House,Philippa Gregory,Country life,1998.0
Mystical Paths,Susan Howatch,English fiction,1996.0
Glittering Images,Susan Howatch,English fiction,1996.0
Glamorous Powers,Susan Howatch,Clergy,1996.0
The Mad Ship,Robin Hobb,Fantasy fiction,2000.0
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996.0
The Reverse of the Medal,Patrick O'Brian,Adventure stories,1997.0
Miss Marple,Agatha Christie,"Detective and mystery stories, English",1997.0
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,2003.0
Spares,Michael Marshall Smith,Human cloning,1998.0
Gravity,Tess Gerritsen,Science fiction,2004.0
The Wise Woman,Philippa Gregory,Great Britain,2002.0
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000.0
The White Album,Joan Didion,American essays,1993.0
The Bonesetter's Daughter,Amy Tan,China,2001.0
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,2000.0
'Tis,Frank McCourt,Ireland,2000.0
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,2002.0
